1529429905365
5525			1			0
5526			1			1
5526			1			2
5526			1			3
5526			1			4
5526			1			5
5526			1			6
5527			1			7
5527			1			8
5527			1			9
5528			1			10
5528			1			11
5528			1			12
5528			1			13
5528			1			14
5529			1			15
5529			1			16
5529			1			17
5529			1			18
5529			1			19
5530			1			20
5530			1			21
5530			1			22
5540			2			23
8528			2			24
8528			2			25
8529			2			26
8529			2			27
8529			2			28
8529			2			29
8530			2			30
8531			2			31
8531			2			32
8531			2			33
8531			2			34
8531			2			35
8532			2			36
8532			2			37
8532			2			38
8532			2			39
8533			2			40
8533			2			41
8533			2			42
8533			2			43
8533			2			44
8535			3			45
8536			4			46
8547			5			47
11530			5			48
11530			5			49
11530			5			50
11531			5			51
11531			5			52
11532			5			53
11532			5			54
11532			5			55
11533			5			56
11533			5			57
11533			5			58
11533			5			59
11534			5			60
11534			5			61
11535			5			62
11535			5			63
11536			5			64
11536			5			65
11536			5			66
11537			5			67
11537			6			68
11538			7			69
11538			8			70
11554			9			71
14532			9			72
14532			9			73
14532			9			74
14533			9			75
14533			9			76
14533			9			77
14533			9			78
14534			9			79
14536			9			80
14536			9			81
14536			9			82
14537			9			83
14537			9			84
14537			9			85
14537			9			86
14538			9			87
14538			9			88
14544			10			89
14546			11			90
14548			12			91
14549			13			92
14550			14			93
14552			15			94
14564			16			95
17534			16			96
17534			16			97
17534			16			98
17535			16			99
17535			16			100
17537			16			101
17537			16			102
17537			16			103
17538			16			104
17538			16			105
17538			16			106
17538			16			107
17542			17			108
17542			18			109
17542			19			110
17542			20			111
17543			21			112
17545			21			113
17546			21			114
17549			21			115
17550			21			116
17553			21			117
17554			22			118
17564			22			119
20535			22			120
20536			22			121
20536			22			122
20537			22			123
20538			22			124
20538			22			125
20538			22			126
20538			22			127
20538			22			128
20539			22			129
20542			22			130
20542			22			131
20542			22			132
20542			22			133
20543			22			134
20543			23			135
20543			24			136
